NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-01,,,,,0.06,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,58,",,W",39,",,W",,,,,,,,,,,1,",,W",,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-02,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,40,",,W",35,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-03,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,44,",,W",37,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-04,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,47,",,W",35,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-05,,,,,0.50,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,47,",,W",41,",,W",,,,,,,,,,,1,",,W",,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-06,,,,,0.00,"T,,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,49,",,W",31,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-07,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,34,",,W",25,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-08,,,,,0.17,",,W,2400",0.0,"T,,W,2400",0.0,",,W,2400",,,45,",,W",34,",,W",,,,,,,,,,,1,",,W",,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-09,,,,,0.06,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,45,",,W",34,",,W",,,,,,,,,,,1,",,W",,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-10,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,34,",,W",28,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-11,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,30,",,W",21,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-12,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,34,",,W",20,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-13,,,,,0.00,"T,,W,2400",0.0,"T,,W,2400",0.0,",,W,2400",,,33,",,W",25,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-14,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,32,",,W",22,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-15,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,36,",,W",25,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-16,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,39,",,W",30,",,W",,,,,,,,,,,,,,,,,,,,,1,",,W"
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-17,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,33,",,W",24,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-18,,,,,0.05,",,W,2400",0.5,",,W,2400",1.2,",,W,2400",,,39,",,W",29,",,W",,,,,,,,,,,1,",,W",,,,,,,,,1,",,W"
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-19,,,,,0.29,",,W,2400",0.2,",,W,2400",0.0,",,W,2400",,,37,",,W",32,",,W",,,,,,,,,,,1,",,W",,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-20,,,,,0.88,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,42,",,W",14,",,W",,,,,,,,,,,1,",,W",,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-21,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,14,",,W",4,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-22,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,31,",,W",13,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-23,,,,,0.00,"T,,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,52,",,W",31,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-24,,,,,1.33,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,59,",,W",35,",,W",,,,,,,,,,,1,",,W",,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-25,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,40,",,W",28,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-26,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,35,",,W",24,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-27,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,49,",,W",32,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-28,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,38,",,W",25,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-29,,,,,0.23,",,W,2400",0.0,"T,,W,2400",0.0,",,W,2400",,,43,",,W",25,",,W",,,,,,,,,,,1,",,W",,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-30,,,,,0.01,",,W,2400",0.4,",,W,2400",0.0,",,W,2400",,,35,",,W",6,",,W",,,,,,,,,,,1,",,W",,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-01-31,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,16,",,W",2,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-02-01,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,21,",,W",11,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-02-02,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,34,",,W",16,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-02-03,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,53,",,W",33,",,W",,,,,,,,,,,,,,,,,,,,,1,",,W"
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-02-04,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,61,",,W",41,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-02-05,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,65,",,W",44,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-02-06,,,,,0.45,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,46,",,W",35,",,W",,,,,,,,,,,1,",,W",,,,,,,,,,
